semeval2007.d000.s002.t001 statement%1:10:06::
senseval3.d001.s047.t001 business_school%1:14:00::
senseval3.d002.s000.t008 solace%1:04:00::
senseval3.d002.s001.t002 personal_computer%1:06:00::
senseval3.d002.s002.t001 make%2:38:10::
senseval3.d002.s002.t006 bulletin_board%1:06:01::
senseval3.d002.s002.t009 phone_line%1:06:00::
senseval3.d002.s004.t001 subscriber%1:18:01::
senseval3.d002.s006.t000 excerpt%1:10:00::
senseval3.d002.s006.t002 traffic%1:04:02::
senseval3.d002.s007.t004 subscriber%1:18:01::
senseval3.d002.s011.t000 avenue%1:06:00::
senseval3.d002.s011.t008 ok%5:00:00:satisfactory:00
senseval3.d002.s012.t002 frame%1:06:00::
senseval3.d002.s016.t001 temblor%1:11:00::
senseval3.d002.s016.t004 table%1:14:01::
senseval3.d002.s016.t006 smile%2:32:00::
senseval3.d002.s017.t002 temblor%1:11:00::
senseval3.d002.s021.t000 library%1:06:02::
senseval3.d002.s024.t005 evil-looking%5:00:00:ugly:00
senseval3.d002.s028.t002 hell%1:04:01::
senseval3.d002.s029.t000 gas_tank%1:06:00::
senseval3.d002.s031.t002 nervous%5:00:00:troubled:00
senseval3.d002.s034.t002 gas_main%1:06:00::
senseval3.d002.s035.t001 fill%1:27:00::
senseval3.d002.s035.t002 liquefy%2:30:01::
senseval3.d002.s040.t003 red_light%1:10:00::
senseval3.d002.s041.t002 power_line%1:06:00::
senseval3.d002.s046.t001 hairline%1:10:00::
senseval3.d002.s046.t003 concrete%5:00:00:solid:01
senseval3.d002.s047.t001 damn%5:00:02:cursed:00
senseval3.d002.s050.t000 ride_out%2:42:00::
senseval3.d002.s050.t003 55th%5:00:00:ordinal:00
senseval3.d002.s055.t004 refinery%1:06:00::
senseval3.d002.s057.t002 aftershock%1:11:00::
senseval3.d002.s058.t001 knot%1:25:00::
senseval3.d002.s059.t002 aftershock%1:11:00::
senseval3.d002.s066.t007 guestroom%1:06:00::
senseval3.d002.s067.t001 software%1:10:00::
senseval3.d002.s068.t001 standing%1:04:00::
senseval3.d002.s072.t005 behavior%1:04:01::
senseval3.d002.s073.t001 swarm%1:14:01::
senseval3.d002.s076.t001 aftershock%1:11:00::
senseval3.d002.s077.t000 numb%5:00:00:afraid:00
senseval3.d002.s081.t003 mayonnaise%1:13:00::
senseval3.d002.s081.t008 general_store%1:06:00::
senseval3.d002.s082.t000 quiver%1:26:00:: quiver%1:04:00::
senseval3.d002.s082.t005 unpredictable%5:00:00:sporadic:00
senseval3.d002.s082.t011 refuge%1:06:00::
senseval3.d002.s083.t001 distressed%3:00:04::
senseval3.d002.s086.t012 ooze%2:38:00::
senseval3.d002.s086.t015 eerie%5:00:00:strange:00
senseval3.d002.s088.t002 surreal%5:00:00:unreal:02
senseval3.d002.s088.t006 aftershock%1:11:00::
senseval3.d002.s088.t007 continue%2:30:10::
senseval3.d002.s091.t000 medical_center%1:15:00::
senseval3.d002.s091.t005 triage%1:04:00::
senseval3.d002.s100.t003 trash_can%1:06:00::
senseval3.d002.s100.t016 dance%2:38:02::
senseval3.d002.s103.t001 picture%1:06:02::
senseval3.d002.s109.t009 like_crazy%4:02:00::
senseval3.d002.s115.t001 unscathed%5:00:00:uninjured:00
senseval3.d002.s116.t003 get_through%2:32:00::
senseval3.d002.s116.t004 phone_line%1:06:00::
senseval3.d002.s121.t001 freak%2:37:00::
senseval3.d002.s122.t002 crystal%1:06:01::
senseval3.d002.s125.t005 earthworm%1:05:00::
senseval3.d002.s125.t008 slither%2:38:00::
senseval3.d002.s131.t003 aftershock%1:11:00::
senseval3.d002.s137.t002 commonplace%5:00:02:ordinary:00
senseval3.d002.s140.t001 homeless%5:00:00:unfortunate:00
senseval3.d002.s140.t006 sit_up%2:38:01::
senseval3.d002.s140.t008 good_morning%1:10:00::
